# 
# 06/05/2021 21:23:55
# The parameters defined in the project are:
# ,P26 - K,P76 - Mesh Relevance,P125 - celda1.x,P126 - celda1.y,P127 - volumen.x,P128 - volumen.y,P129 - H,P130 - L,P131 - Diametro,P132 - celda1.offsety,P133 - celda1.ny,P134 - celda1.offsetx,P135 - celda1.nx,P136 - celda2.x,P137 - celda2.y,P138 - celda2.offsety,P139 - celda2.ny,P140 - celda2.offsetx,P141 - celda2.nx,P142 - e,P193 - Volumenpila,P194 - Current,P195 - Rint,P199 - Flujo,P200 - ex [m],P201 - diametro [m],P202 - ey [m],P203 - k,P278 - pgen [W m^-3],P279 - massflow [kg s^-1],P280 - t_viento [C],P204 - D01 [kg m^-3],P205 - D02 [kg m^-3],P206 - D03 [kg m^-3],P207 - D04 [kg m^-3],P248 - TF01 [K],P249 - TF02 [K],P250 - TF03 [K],P251 - TF04 [K],P281 - V01 [m s^-1],P282 - V02 [m s^-1],P283 - V03 [m s^-1],P284 - V04 [m s^-1],P296 - P01 [Pa],P297 - P02 [Pa],P298 - P03 [Pa],P299 - P04 [Pa],P311 - TC01 [K],P312 - TC02 [K],P313 - TC03 [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P26,P76,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P193,P194,P195,P199,P200,P201,P202,P203,P278,P279,P280,P204,P205,P206,P207,P248,P249,P250,P251,P281,P282,P283,P284,P296,P297,P298,P299,P311,P312,P313
DP 0,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,0,0.032,50.75,0.03,0.0205,0.015,0.6,0,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.9,286.9,286.9,286.9,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,286.9,286.9,286.9
DP 1,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,0.306,0.032,50.75,0.03,0.0205,0.015,0.6,139.66316226957559,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.901,286.902,286.904,286.905,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,286.911,286.914,286.916
DP 2,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,0.612,0.032,50.75,0.03,0.0205,0.015,0.6,558.65264907830237,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.904,286.91,286.915,286.92,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,286.946,286.955,286.963
DP 3,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,0.918,0.032,50.75,0.03,0.0205,0.015,0.6,1256.9684604261806,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.91,286.922,286.933,286.945,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.003,287.024,287.041
DP 4,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,1.224,0.032,50.75,0.03,0.0205,0.015,0.6,2234.6105963132095,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.917,286.939,286.959,286.98,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.084,287.12,287.151
DP 5,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,1.531,0.032,50.75,0.03,0.0205,0.015,0.6,3496.1447039232421,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.927,286.961,286.992,287.026,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.188,287.245,287.292
DP 6,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,1.837,0.032,50.75,0.03,0.0205,0.015,0.6,5033.3523200145182,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.939,286.987,287.032,287.081,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.314,287.396,287.465
DP 7,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,2.143,0.032,50.75,0.03,0.0205,0.015,0.6,6849.8862606449457,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.953,287.019,287.08,287.147,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.464,287.575,287.669
DP 8,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,2.449,0.032,50.75,0.03,0.0205,0.015,0.6,8945.7465258145257,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.969,287.055,287.135,287.222,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.636,287.782,287.904
DP 9,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,2.755,0.032,50.75,0.03,0.0205,0.015,0.6,11320.933115523256,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,286.987,287.097,287.197,287.308,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,287.831,288.016,288.17
